value,time,ID,orig_measurement,type
170,2024-01-01 00:00:00,8-0,168,1p_household
280,2024-01-01 00:00:00,8-1,270,2p_household
160,2024-01-01 00:00:00,8-2,157,1p_household
170,2024-01-01 00:00:00,8-3,171,1p_household
170,2024-01-01 00:00:00,8-4,168,1p_household
400,2024-01-01 00:00:00,8-5,402,3p_household
400,2024-01-01 00:00:00,8-6,415,3p_household
380,2024-01-01 00:00:00,8-7,383,3p_household
400,2024-01-01 00:00:00,8-8,407,3p_household
160,2024-01-01 00:00:00,8-9,164,1p_household
260,2024-01-01 00:00:00,8-10,261,2p_household
400,2024-01-01 00:00:00,13-0,412,3p_household
160,2024-01-01 00:00:00,13-1,158,1p_household
400,2024-01-01 00:00:00,13-2,393,3p_household
280,2024-01-01 00:00:00,13-3,273,2p_household
160,2024-01-01 00:00:00,13-4,161,1p_household
260,2024-01-01 00:00:00,13-5,260,2p_household
400,2024-01-01 00:00:00,13-6,390,3p_household
400,2024-01-01 00:00:00,13-7,405,4p_household
280,2024-01-01 00:00:00,13-8,276,2p_household
160,2024-01-01 00:00:00,0-0,158,1p_household
400,2024-01-01 00:00:00,0-1,393,3p_household
380,2024-01-01 00:00:00,0-2,380,3p_household
400,2024-01-01 00:00:00,0-3,396,3p_household
380,2024-01-01 00:00:00,0-4,378,3p_household
160,2024-01-01 00:00:00,0-5,161,1p_household
170,2024-01-01 00:00:00,0-6,166,1p_household
400,2024-01-01 00:00:00,2-0,396,4p_household
380,2024-01-01 00:00:00,2-1,379,3p_household
170,2024-01-01 00:00:00,2-2,165,1p_household
400,2024-01-01 00:00:00,2-3,397,3p_household
170,2024-01-01 00:00:00,2-4,167,1p_household
160,2024-01-01 00:00:00,2-5,161,1p_household
170,2024-01-01 00:00:00,2-6,168,1p_household
400,2024-01-01 00:00:00,2-7,415,4p_household
160,2024-01-01 00:00:00,7-0,162,1p_household
160,2024-01-01 00:00:00,7-1,159,1p_household
400,2024-01-01 00:00:00,7-2,391,4p_household
170,2024-01-01 00:00:00,7-3,165,1p_household
280,2024-01-01 00:00:00,7-4,281,2p_household
380,2024-01-01 00:00:00,7-5,387,3p_household
260,2024-01-01 00:00:00,7-6,269,2p_household
340,2024-01-01 00:15:00,13-0,348,3p_household
160,2024-01-01 00:15:00,13-1,156,1p_household
340,2024-01-01 00:15:00,13-2,348,3p_household
260,2024-01-01 00:15:00,13-3,251,2p_household
140,2024-01-01 00:15:00,13-4,143,1p_household
240,2024-01-01 00:15:00,13-5,240,2p_household
380,2024-01-01 00:15:00,13-6,373,3p_household
340,2024-01-01 00:15:00,13-7,346,4p_household
240,2024-01-01 00:15:00,13-8,244,2p_household
140,2024-01-01 00:15:00,0-0,144,1p_household
340,2024-01-01 00:15:00,0-1,342,3p_household
380,2024-01-01 00:15:00,0-2,371,3p_household
360,2024-01-01 00:15:00,0-3,352,3p_household
380,2024-01-01 00:15:00,0-4,373,3p_household
150,2024-01-01 00:15:00,0-5,154,1p_household
150,2024-01-01 00:15:00,0-6,148,1p_household
360,2024-01-01 00:15:00,2-0,350,4p_household
360,2024-01-01 00:15:00,2-1,355,3p_household
150,2024-01-01 00:15:00,2-2,147,1p_household
380,2024-01-01 00:15:00,2-3,370,3p_household
150,2024-01-01 00:15:00,2-4,148,1p_household
150,2024-01-01 00:15:00,2-5,153,1p_household
150,2024-01-01 00:15:00,2-6,149,1p_household
340,2024-01-01 00:15:00,2-7,341,4p_household
150,2024-01-01 00:15:00,7-0,153,1p_household
150,2024-01-01 00:15:00,7-1,154,1p_household
360,2024-01-01 00:15:00,7-2,367,4p_household
150,2024-01-01 00:15:00,7-3,153,1p_household
260,2024-01-01 00:15:00,7-4,250,2p_household
380,2024-01-01 00:15:00,7-5,371,3p_household
240,2024-01-01 00:15:00,7-6,241,2p_household
140,2024-01-01 00:15:00,8-0,143,1p_household
260,2024-01-01 00:15:00,8-1,254,2p_household
150,2024-01-01 00:15:00,8-2,149,1p_household
150,2024-01-01 00:15:00,8-3,152,1p_household
140,2024-01-01 00:15:00,8-4,142,1p_household
360,2024-01-01 00:15:00,8-5,361,3p_household
380,2024-01-01 00:15:00,8-6,374,3p_household
340,2024-01-01 00:15:00,8-7,346,3p_household
360,2024-01-01 00:15:00,8-8,361,3p_household
150,2024-01-01 00:15:00,8-9,148,1p_household
240,2024-01-01 00:15:00,8-10,236,2p_household
130,2024-01-01 00:30:00,0-0,127,1p_household
300,2024-01-01 00:30:00,0-1,308,3p_household
320,2024-01-01 00:30:00,0-2,326,3p_household
340,2024-01-01 00:30:00,0-3,331,3p_household
300,2024-01-01 00:30:00,0-4,308,3p_household
130,2024-01-01 00:30:00,0-5,133,1p_household
140,2024-01-01 00:30:00,0-6,136,1p_household
340,2024-01-01 00:30:00,2-0,331,4p_household
320,2024-01-01 00:30:00,2-1,326,3p_household
130,2024-01-01 00:30:00,2-2,130,1p_household
320,2024-01-01 00:30:00,2-3,314,3p_household
130,2024-01-01 00:30:00,2-4,131,1p_household
140,2024-01-01 00:30:00,2-5,137,1p_household
130,2024-01-01 00:30:00,2-6,134,1p_household
300,2024-01-01 00:30:00,2-7,307,4p_household
140,2024-01-01 00:30:00,7-0,139,1p_household
140,2024-01-01 00:30:00,7-1,137,1p_household
340,2024-01-01 00:30:00,7-2,334,4p_household
130,2024-01-01 00:30:00,7-3,133,1p_household
220,2024-01-01 00:30:00,7-4,218,2p_household
320,2024-01-01 00:30:00,7-5,321,3p_household
220,2024-01-01 00:30:00,7-6,224,2p_household
130,2024-01-01 00:30:00,8-0,127,1p_household
220,2024-01-01 00:30:00,8-1,221,2p_household
140,2024-01-01 00:30:00,8-2,137,1p_household
140,2024-01-01 00:30:00,8-3,138,1p_household
130,2024-01-01 00:30:00,8-4,131,1p_household
320,2024-01-01 00:30:00,8-5,312,3p_household
320,2024-01-01 00:30:00,8-6,312,3p_household
340,2024-01-01 00:30:00,8-7,333,3p_household
340,2024-01-01 00:30:00,8-8,330,3p_household
130,2024-01-01 00:30:00,8-9,129,1p_household
220,2024-01-01 00:30:00,8-10,214,2p_household
300,2024-01-01 00:30:00,13-0,308,3p_household
130,2024-01-01 00:30:00,13-1,132,1p_household
320,2024-01-01 00:30:00,13-2,315,3p_household
220,2024-01-01 00:30:00,13-3,229,2p_household
130,2024-01-01 00:30:00,13-4,131,1p_household
220,2024-01-01 00:30:00,13-5,226,2p_household
320,2024-01-01 00:30:00,13-6,324,3p_household
320,2024-01-01 00:30:00,13-7,320,4p_household
220,2024-01-01 00:30:00,13-8,218,2p_household
280,2024-01-01 00:45:00,2-0,278,4p_household
280,2024-01-01 00:45:00,2-1,286,3p_household
120,2024-01-01 00:45:00,2-2,115,1p_household
280,2024-01-01 00:45:00,2-3,287,3p_household
120,2024-01-01 00:45:00,2-4,118,1p_household
120,2024-01-01 00:45:00,2-5,117,1p_household
130,2024-01-01 00:45:00,2-6,125,1p_household
300,2024-01-01 00:45:00,2-7,297,4p_household
130,2024-01-01 00:45:00,7-0,125,1p_household
130,2024-01-01 00:45:00,7-1,126,1p_household
300,2024-01-01 00:45:00,7-2,295,4p_household
120,2024-01-01 00:45:00,7-3,117,1p_household
200,2024-01-01 00:45:00,7-4,201,2p_household
300,2024-01-01 00:45:00,7-5,294,3p_household
200,2024-01-01 00:45:00,7-6,200,2p_household
120,2024-01-01 00:45:00,8-0,119,1p_household
190,2024-01-01 00:45:00,8-1,191,2p_household
120,2024-01-01 00:45:00,8-2,121,1p_household
120,2024-01-01 00:45:00,8-3,118,1p_household
120,2024-01-01 00:45:00,8-4,123,1p_household
280,2024-01-01 00:45:00,8-5,281,3p_household
300,2024-01-01 00:45:00,8-6,304,3p_household
280,2024-01-01 00:45:00,8-7,288,3p_household
280,2024-01-01 00:45:00,8-8,280,3p_household
120,2024-01-01 00:45:00,8-9,117,1p_household
200,2024-01-01 00:45:00,8-10,196,2p_household
300,2024-01-01 00:45:00,13-0,296,3p_household
120,2024-01-01 00:45:00,13-1,124,1p_household
300,2024-01-01 00:45:00,13-2,295,3p_household
200,2024-01-01 00:45:00,13-3,207,2p_household
120,2024-01-01 00:45:00,13-4,121,1p_household
200,2024-01-01 00:45:00,13-5,207,2p_household
280,2024-01-01 00:45:00,13-6,288,3p_household
280,2024-01-01 00:45:00,13-7,277,4p_household
200,2024-01-01 00:45:00,13-8,204,2p_household
120,2024-01-01 00:45:00,0-0,122,1p_household
300,2024-01-01 00:45:00,0-1,301,3p_household
300,2024-01-01 00:45:00,0-2,292,3p_household
300,2024-01-01 00:45:00,0-3,292,3p_household
300,2024-01-01 00:45:00,0-4,297,3p_household
120,2024-01-01 00:45:00,0-5,123,1p_household
120,2024-01-01 00:45:00,0-6,124,1p_household
110,2024-01-01 01:00:00,7-0,108,1p_household
110,2024-01-01 01:00:00,7-1,110,1p_household
260,2024-01-01 01:00:00,7-2,269,4p_household
120,2024-01-01 01:00:00,7-3,115,1p_household
180,2024-01-01 01:00:00,7-4,184,2p_household
280,2024-01-01 01:00:00,7-5,273,3p_household
180,2024-01-01 01:00:00,7-6,184,2p_household
110,2024-01-01 01:00:00,8-0,105,1p_household
180,2024-01-01 01:00:00,8-1,182,2p_household
110,2024-01-01 01:00:00,8-2,111,1p_household
110,2024-01-01 01:00:00,8-3,110,1p_household
110,2024-01-01 01:00:00,8-4,109,1p_household
280,2024-01-01 01:00:00,8-5,272,3p_household
280,2024-01-01 01:00:00,8-6,272,3p_household
260,2024-01-01 01:00:00,8-7,267,3p_household
260,2024-01-01 01:00:00,8-8,256,3p_household
110,2024-01-01 01:00:00,8-9,108,1p_household
180,2024-01-01 01:00:00,8-10,177,2p_household
260,2024-01-01 01:00:00,13-0,259,3p_household
110,2024-01-01 01:00:00,13-1,107,1p_household
260,2024-01-01 01:00:00,13-2,268,3p_household
180,2024-01-01 01:00:00,13-3,176,2p_household
120,2024-01-01 01:00:00,13-4,115,1p_household
180,2024-01-01 01:00:00,13-5,183,2p_household
280,2024-01-01 01:00:00,13-6,276,3p_household
260,2024-01-01 01:00:00,13-7,267,4p_household
190,2024-01-01 01:00:00,13-8,190,2p_household
110,2024-01-01 01:00:00,0-0,112,1p_household
260,2024-01-01 01:00:00,0-1,267,3p_household
280,2024-01-01 01:00:00,0-2,271,3p_household
260,2024-01-01 01:00:00,0-3,267,3p_household
260,2024-01-01 01:00:00,0-4,262,3p_household
110,2024-01-01 01:00:00,0-5,111,1p_household
110,2024-01-01 01:00:00,0-6,111,1p_household
280,2024-01-01 01:00:00,2-0,275,4p_household
260,2024-01-01 01:00:00,2-1,256,3p_household
110,2024-01-01 01:00:00,2-2,108,1p_household
260,2024-01-01 01:00:00,2-3,269,3p_household
110,2024-01-01 01:00:00,2-4,110,1p_household
110,2024-01-01 01:00:00,2-5,110,1p_household
110,2024-01-01 01:00:00,2-6,105,1p_household
260,2024-01-01 01:00:00,2-7,257,4p_household
100,2024-01-01 01:15:00,8-0,104,1p_household
180,2024-01-01 01:15:00,8-1,175,2p_household
110,2024-01-01 01:15:00,8-2,106,1p_household
100,2024-01-01 01:15:00,8-3,102,1p_household
110,2024-01-01 01:15:00,8-4,106,1p_household
260,2024-01-01 01:15:00,8-5,250,3p_household
260,2024-01-01 01:15:00,8-6,250,3p_household
240,2024-01-01 01:15:00,8-7,249,3p_household
240,2024-01-01 01:15:00,8-8,245,3p_household
110,2024-01-01 01:15:00,8-9,106,1p_household
160,2024-01-01 01:15:00,8-10,163,2p_household
240,2024-01-01 01:15:00,13-0,247,3p_household
95,2024-01-01 01:15:00,13-1,97,1p_household
240,2024-01-01 01:15:00,13-2,248,3p_household
170,2024-01-01 01:15:00,13-3,172,2p_household
110,2024-01-01 01:15:00,13-4,106,1p_household
160,2024-01-01 01:15:00,13-5,161,2p_household
240,2024-01-01 01:15:00,13-6,245,3p_household
240,2024-01-01 01:15:00,13-7,249,4p_household
180,2024-01-01 01:15:00,13-8,175,2p_household
100,2024-01-01 01:15:00,0-0,103,1p_household
260,2024-01-01 01:15:00,0-1,252,3p_household
260,2024-01-01 01:15:00,0-2,251,3p_household
240,2024-01-01 01:15:00,0-3,236,3p_household
240,2024-01-01 01:15:00,0-4,249,3p_household
110,2024-01-01 01:15:00,0-5,106,1p_household
100,2024-01-01 01:15:00,0-6,104,1p_household
260,2024-01-01 01:15:00,2-0,253,4p_household
240,2024-01-01 01:15:00,2-1,237,3p_household
100,2024-01-01 01:15:00,2-2,101,1p_household
240,2024-01-01 01:15:00,2-3,236,3p_household
100,2024-01-01 01:15:00,2-4,99,1p_household
100,2024-01-01 01:15:00,2-5,98,1p_household
100,2024-01-01 01:15:00,2-6,102,1p_household
260,2024-01-01 01:15:00,2-7,250,4p_household
100,2024-01-01 01:15:00,7-0,102,1p_household
100,2024-01-01 01:15:00,7-1,99,1p_household
240,2024-01-01 01:15:00,7-2,244,4p_household
110,2024-01-01 01:15:00,7-3,105,1p_household
160,2024-01-01 01:15:00,7-4,163,2p_household
240,2024-01-01 01:15:00,7-5,238,3p_household
170,2024-01-01 01:15:00,7-6,165,2p_household
220,2024-01-01 01:30:00,13-0,225,3p_household
95,2024-01-01 01:30:00,13-1,94,1p_household
240,2024-01-01 01:30:00,13-2,233,3p_household
160,2024-01-01 01:30:00,13-3,160,2p_household
100,2024-01-01 01:30:00,13-4,98,1p_household
150,2024-01-01 01:30:00,13-5,153,2p_household
220,2024-01-01 01:30:00,13-6,227,3p_household
220,2024-01-01 01:30:00,13-7,221,4p_household
160,2024-01-01 01:30:00,13-8,157,2p_household
100,2024-01-01 01:30:00,0-0,100,1p_household
220,2024-01-01 01:30:00,0-1,224,3p_household
240,2024-01-01 01:30:00,0-2,233,3p_household
220,2024-01-01 01:30:00,0-3,222,3p_household
220,2024-01-01 01:30:00,0-4,225,3p_household
95,2024-01-01 01:30:00,0-5,97,1p_household
95,2024-01-01 01:30:00,0-6,93,1p_household
240,2024-01-01 01:30:00,2-0,234,4p_household
220,2024-01-01 01:30:00,2-1,225,3p_household
100,2024-01-01 01:30:00,2-2,99,1p_household
220,2024-01-01 01:30:00,2-3,221,3p_household
95,2024-01-01 01:30:00,2-4,94,1p_household
100,2024-01-01 01:30:00,2-5,98,1p_household
95,2024-01-01 01:30:00,2-6,96,1p_household
220,2024-01-01 01:30:00,2-7,222,4p_household
95,2024-01-01 01:30:00,7-0,94,1p_household
95,2024-01-01 01:30:00,7-1,94,1p_household
240,2024-01-01 01:30:00,7-2,241,4p_household
90,2024-01-01 01:30:00,7-3,92,1p_household
150,2024-01-01 01:30:00,7-4,153,2p_household
220,2024-01-01 01:30:00,7-5,226,3p_household
150,2024-01-01 01:30:00,7-6,153,2p_household
95,2024-01-01 01:30:00,8-0,93,1p_household
160,2024-01-01 01:30:00,8-1,155,2p_household
95,2024-01-01 01:30:00,8-2,96,1p_household
100,2024-01-01 01:30:00,8-3,99,1p_household
100,2024-01-01 01:30:00,8-4,98,1p_household
240,2024-01-01 01:30:00,8-5,242,3p_household
220,2024-01-01 01:30:00,8-6,220,3p_household
240,2024-01-01 01:30:00,8-7,235,3p_household
220,2024-01-01 01:30:00,8-8,229,3p_household
90,2024-01-01 01:30:00,8-9,92,1p_household
160,2024-01-01 01:30:00,8-10,158,2p_household
90,2024-01-01 01:45:00,0-0,90,1p_household
240,2024-01-01 01:45:00,0-1,232,3p_household
220,2024-01-01 01:45:00,0-2,221,3p_household
220,2024-01-01 01:45:00,0-3,229,3p_household
220,2024-01-01 01:45:00,0-4,227,3p_household
90,2024-01-01 01:45:00,0-5,91,1p_household
90,2024-01-01 01:45:00,0-6,88,1p_household
220,2024-01-01 01:45:00,2-0,218,4p_household
220,2024-01-01 01:45:00,2-1,212,3p_household
90,2024-01-01 01:45:00,2-2,92,1p_household
220,2024-01-01 01:45:00,2-3,217,3p_household
90,2024-01-01 01:45:00,2-4,91,1p_household
90,2024-01-01 01:45:00,2-5,92,1p_household
95,2024-01-01 01:45:00,2-6,94,1p_household
220,2024-01-01 01:45:00,2-7,221,4p_household
90,2024-01-01 01:45:00,7-0,92,1p_household
90,2024-01-01 01:45:00,7-1,90,1p_household
220,2024-01-01 01:45:00,7-2,215,4p_household
90,2024-01-01 01:45:00,7-3,91,1p_household
160,2024-01-01 01:45:00,7-4,157,2p_household
220,2024-01-01 01:45:00,7-5,222,3p_household
160,2024-01-01 01:45:00,7-6,156,2p_household
95,2024-01-01 01:45:00,8-0,93,1p_household
150,2024-01-01 01:45:00,8-1,153,2p_household
90,2024-01-01 01:45:00,8-2,89,1p_household
95,2024-01-01 01:45:00,8-3,95,1p_household
95,2024-01-01 01:45:00,8-4,95,1p_household
220,2024-01-01 01:45:00,8-5,211,3p_household
220,2024-01-01 01:45:00,8-6,221,3p_household
240,2024-01-01 01:45:00,8-7,230,3p_household
220,2024-01-01 01:45:00,8-8,217,3p_household
95,2024-01-01 01:45:00,8-9,93,1p_household
160,2024-01-01 01:45:00,8-10,158,2p_household
240,2024-01-01 01:45:00,13-0,230,3p_household
90,2024-01-01 01:45:00,13-1,92,1p_household
220,2024-01-01 01:45:00,13-2,220,3p_household
150,2024-01-01 01:45:00,13-3,145,2p_household
95,2024-01-01 01:45:00,13-4,96,1p_household
160,2024-01-01 01:45:00,13-5,157,2p_household
240,2024-01-01 01:45:00,13-6,231,3p_household
240,2024-01-01 01:45:00,13-7,230,4p_household
160,2024-01-01 01:45:00,13-8,156,2p_household
220,2024-01-01 02:00:00,2-0,211,4p_household
220,2024-01-01 02:00:00,2-1,211,3p_household
90,2024-01-01 02:00:00,2-2,91,1p_household
200,2024-01-01 02:00:00,2-3,205,3p_household
90,2024-01-01 02:00:00,2-4,91,1p_household
90,2024-01-01 02:00:00,2-5,89,1p_household
90,2024-01-01 02:00:00,2-6,91,1p_household
220,2024-01-01 02:00:00,2-7,225,4p_household
85,2024-01-01 02:00:00,7-0,86,1p_household
85,2024-01-01 02:00:00,7-1,86,1p_household
