value,time,ID,orig_measurement,type
280,2024-01-01 00:00:00,10-0,280,2p_household
380,2024-01-01 00:00:00,10-1,389,3p_household
400,2024-01-01 00:00:00,10-2,403,3p_household
280,2024-01-01 00:00:00,10-3,282,2p_household
160,2024-01-01 00:00:00,10-4,157,1p_household
280,2024-01-01 00:00:00,10-5,276,2p_household
170,2024-01-01 00:00:00,10-6,171,1p_household
260,2024-01-01 00:00:00,10-7,259,2p_household
160,2024-01-01 00:00:00,10-8,162,1p_household
160,2024-01-01 00:00:00,10-9,162,1p_household
380,2024-01-01 00:00:00,14-0,388,3p_household
400,2024-01-01 00:00:00,14-1,393,4p_household
170,2024-01-01 00:00:00,14-2,169,1p_household
170,2024-01-01 00:00:00,14-3,166,1p_household
280,2024-01-01 00:00:00,14-4,274,2p_household
380,2024-01-01 00:00:00,14-5,389,4p_household
160,2024-01-01 00:00:00,14-6,158,1p_household
280,2024-01-01 00:00:00,14-7,283,2p_household
260,2024-01-01 00:00:00,14-8,260,2p_household
170,2024-01-01 00:00:00,14-9,170,1p_household
380,2024-01-01 00:00:00,0-0,383,3p_household
280,2024-01-01 00:00:00,0-1,277,2p_household
260,2024-01-01 00:00:00,0-2,264,2p_household
170,2024-01-01 00:00:00,0-3,165,1p_household
170,2024-01-01 00:00:00,0-4,167,1p_household
160,2024-01-01 00:00:00,0-5,163,1p_household
170,2024-01-01 00:00:00,0-6,170,1p_household
380,2024-01-01 00:00:00,4-0,380,3p_household
400,2024-01-01 00:00:00,4-1,404,4p_household
170,2024-01-01 00:00:00,4-2,169,1p_household
280,2024-01-01 00:00:00,4-3,276,2p_household
160,2024-01-01 00:00:00,4-4,161,1p_household
260,2024-01-01 00:00:00,4-5,266,2p_household
280,2024-01-01 00:00:00,4-6,283,2p_household
400,2024-01-01 00:00:00,4-7,403,4p_household
260,2024-01-01 00:00:00,4-8,264,2p_household
280,2024-01-01 00:00:00,4-9,282,2p_household
1120,2024-01-01 00:00:00,4-10,1087,store
160,2024-01-01 00:00:00,4-11,158,1p_household
170,2024-01-01 00:00:00,4-12,168,1p_household
280,2024-01-01 00:00:00,5-0,280,2p_household
380,2024-01-01 00:00:00,5-1,380,3p_household
170,2024-01-01 00:00:00,5-2,170,1p_household
260,2024-01-01 00:00:00,5-3,263,2p_household
380,2024-01-01 00:00:00,5-4,382,4p_household
280,2024-01-01 00:00:00,5-5,283,2p_household
400,2024-01-01 00:00:00,5-6,390,3p_household
280,2024-01-01 00:00:00,5-7,283,2p_household
340,2024-01-01 00:15:00,14-0,347,3p_household
360,2024-01-01 00:15:00,14-1,352,4p_household
150,2024-01-01 00:15:00,14-2,149,1p_household
150,2024-01-01 00:15:00,14-3,149,1p_household
260,2024-01-01 00:15:00,14-4,252,2p_household
380,2024-01-01 00:15:00,14-5,374,4p_household
150,2024-01-01 00:15:00,14-6,145,1p_household
240,2024-01-01 00:15:00,14-7,246,2p_household
260,2024-01-01 00:15:00,14-8,256,2p_household
150,2024-01-01 00:15:00,14-9,153,1p_household
360,2024-01-01 00:15:00,0-0,368,3p_household
240,2024-01-01 00:15:00,0-1,247,2p_household
240,2024-01-01 00:15:00,0-2,239,2p_household
150,2024-01-01 00:15:00,0-3,154,1p_household
160,2024-01-01 00:15:00,0-4,156,1p_household
140,2024-01-01 00:15:00,0-5,142,1p_household
150,2024-01-01 00:15:00,0-6,152,1p_household
360,2024-01-01 00:15:00,4-0,352,3p_household
360,2024-01-01 00:15:00,4-1,351,4p_household
150,2024-01-01 00:15:00,4-2,154,1p_household
240,2024-01-01 00:15:00,4-3,247,2p_household
150,2024-01-01 00:15:00,4-4,145,1p_household
240,2024-01-01 00:15:00,4-5,248,2p_household
240,2024-01-01 00:15:00,4-6,240,2p_household
360,2024-01-01 00:15:00,4-7,352,4p_household
240,2024-01-01 00:15:00,4-8,244,2p_household
240,2024-01-01 00:15:00,4-9,240,2p_household
1200,2024-01-01 00:15:00,4-10,1160,store
140,2024-01-01 00:15:00,4-11,144,1p_household
150,2024-01-01 00:15:00,4-12,152,1p_household
240,2024-01-01 00:15:00,5-0,241,2p_household
360,2024-01-01 00:15:00,5-1,369,3p_household
150,2024-01-01 00:15:00,5-2,151,1p_household
240,2024-01-01 00:15:00,5-3,246,2p_household
340,2024-01-01 00:15:00,5-4,349,4p_household
240,2024-01-01 00:15:00,5-5,238,2p_household
340,2024-01-01 00:15:00,5-6,343,3p_household
240,2024-01-01 00:15:00,5-7,243,2p_household
240,2024-01-01 00:15:00,10-0,245,2p_household
360,2024-01-01 00:15:00,10-1,352,3p_household
380,2024-01-01 00:15:00,10-2,374,3p_household
240,2024-01-01 00:15:00,10-3,247,2p_household
160,2024-01-01 00:15:00,10-4,156,1p_household
260,2024-01-01 00:15:00,10-5,254,2p_household
140,2024-01-01 00:15:00,10-6,144,1p_household
260,2024-01-01 00:15:00,10-7,251,2p_household
150,2024-01-01 00:15:00,10-8,151,1p_household
150,2024-01-01 00:15:00,10-9,150,1p_household
300,2024-01-01 00:30:00,0-0,306,3p_household
220,2024-01-01 00:30:00,0-1,215,2p_household
220,2024-01-01 00:30:00,0-2,224,2p_household
130,2024-01-01 00:30:00,0-3,128,1p_household
130,2024-01-01 00:30:00,0-4,127,1p_household
140,2024-01-01 00:30:00,0-5,135,1p_household
130,2024-01-01 00:30:00,0-6,128,1p_household
340,2024-01-01 00:30:00,4-0,332,3p_household
320,2024-01-01 00:30:00,4-1,310,4p_household
140,2024-01-01 00:30:00,4-2,135,1p_household
220,2024-01-01 00:30:00,4-3,224,2p_household
130,2024-01-01 00:30:00,4-4,134,1p_household
220,2024-01-01 00:30:00,4-5,228,2p_household
220,2024-01-01 00:30:00,4-6,221,2p_household
300,2024-01-01 00:30:00,4-7,306,4p_household
240,2024-01-01 00:30:00,4-8,230,2p_household
220,2024-01-01 00:30:00,4-9,221,2p_household
1040,2024-01-01 00:30:00,4-10,1077,store
140,2024-01-01 00:30:00,4-11,135,1p_household
140,2024-01-01 00:30:00,4-12,138,1p_household
220,2024-01-01 00:30:00,5-0,213,2p_household
340,2024-01-01 00:30:00,5-1,331,3p_household
130,2024-01-01 00:30:00,5-2,131,1p_household
240,2024-01-01 00:30:00,5-3,230,2p_household
340,2024-01-01 00:30:00,5-4,333,4p_household
220,2024-01-01 00:30:00,5-5,226,2p_household
340,2024-01-01 00:30:00,5-6,333,3p_household
220,2024-01-01 00:30:00,5-7,217,2p_household
220,2024-01-01 00:30:00,10-0,225,2p_household
340,2024-01-01 00:30:00,10-1,331,3p_household
340,2024-01-01 00:30:00,10-2,332,3p_household
220,2024-01-01 00:30:00,10-3,223,2p_household
130,2024-01-01 00:30:00,10-4,130,1p_household
220,2024-01-01 00:30:00,10-5,221,2p_household
130,2024-01-01 00:30:00,10-6,131,1p_household
240,2024-01-01 00:30:00,10-7,230,2p_household
140,2024-01-01 00:30:00,10-8,135,1p_household
130,2024-01-01 00:30:00,10-9,130,1p_household
320,2024-01-01 00:30:00,14-0,325,3p_household
320,2024-01-01 00:30:00,14-1,318,4p_household
130,2024-01-01 00:30:00,14-2,134,1p_household
130,2024-01-01 00:30:00,14-3,134,1p_household
240,2024-01-01 00:30:00,14-4,230,2p_household
320,2024-01-01 00:30:00,14-5,314,4p_household
140,2024-01-01 00:30:00,14-6,138,1p_household
220,2024-01-01 00:30:00,14-7,219,2p_household
220,2024-01-01 00:30:00,14-8,226,2p_household
140,2024-01-01 00:30:00,14-9,138,1p_household
280,2024-01-01 00:45:00,4-0,283,3p_household
300,2024-01-01 00:45:00,4-1,292,4p_household
120,2024-01-01 00:45:00,4-2,118,1p_household
200,2024-01-01 00:45:00,4-3,209,2p_household
120,2024-01-01 00:45:00,4-4,123,1p_household
200,2024-01-01 00:45:00,4-5,205,2p_household
200,2024-01-01 00:45:00,4-6,205,2p_household
300,2024-01-01 00:45:00,4-7,293,4p_household
200,2024-01-01 00:45:00,4-8,197,2p_household
200,2024-01-01 00:45:00,4-9,195,2p_household
1120,2024-01-01 00:45:00,4-10,1096,store
120,2024-01-01 00:45:00,4-11,124,1p_household
120,2024-01-01 00:45:00,4-12,118,1p_household
190,2024-01-01 00:45:00,5-0,190,2p_household
300,2024-01-01 00:45:00,5-1,291,3p_household
120,2024-01-01 00:45:00,5-2,121,1p_household
190,2024-01-01 00:45:00,5-3,194,2p_household
280,2024-01-01 00:45:00,5-4,289,4p_household
190,2024-01-01 00:45:00,5-5,191,2p_household
280,2024-01-01 00:45:00,5-6,284,3p_household
200,2024-01-01 00:45:00,5-7,208,2p_household
200,2024-01-01 00:45:00,10-0,196,2p_household
280,2024-01-01 00:45:00,10-1,277,3p_household
280,2024-01-01 00:45:00,10-2,281,3p_household
200,2024-01-01 00:45:00,10-3,209,2p_household
120,2024-01-01 00:45:00,10-4,116,1p_household
200,2024-01-01 00:45:00,10-5,207,2p_household
120,2024-01-01 00:45:00,10-6,119,1p_household
200,2024-01-01 00:45:00,10-7,205,2p_household
120,2024-01-01 00:45:00,10-8,115,1p_household
120,2024-01-01 00:45:00,10-9,116,1p_household
300,2024-01-01 00:45:00,14-0,290,3p_household
300,2024-01-01 00:45:00,14-1,296,4p_household
120,2024-01-01 00:45:00,14-2,121,1p_household
120,2024-01-01 00:45:00,14-3,118,1p_household
200,2024-01-01 00:45:00,14-4,208,2p_household
280,2024-01-01 00:45:00,14-5,282,4p_household
120,2024-01-01 00:45:00,14-6,123,1p_household
200,2024-01-01 00:45:00,14-7,209,2p_household
200,2024-01-01 00:45:00,14-8,195,2p_household
130,2024-01-01 00:45:00,14-9,125,1p_household
300,2024-01-01 00:45:00,0-0,300,3p_household
200,2024-01-01 00:45:00,0-1,197,2p_household
200,2024-01-01 00:45:00,0-2,200,2p_household
120,2024-01-01 00:45:00,0-3,121,1p_household
120,2024-01-01 00:45:00,0-4,116,1p_household
120,2024-01-01 00:45:00,0-5,118,1p_household
120,2024-01-01 00:45:00,0-6,115,1p_household
180,2024-01-01 01:00:00,5-0,180,2p_household
260,2024-01-01 01:00:00,5-1,266,3p_household
120,2024-01-01 01:00:00,5-2,115,1p_household
190,2024-01-01 01:00:00,5-3,190,2p_household
260,2024-01-01 01:00:00,5-4,261,4p_household
170,2024-01-01 01:00:00,5-5,174,2p_household
280,2024-01-01 01:00:00,5-6,272,3p_household
180,2024-01-01 01:00:00,5-7,178,2p_household
190,2024-01-01 01:00:00,10-0,190,2p_household
260,2024-01-01 01:00:00,10-1,254,3p_household
260,2024-01-01 01:00:00,10-2,262,3p_household
180,2024-01-01 01:00:00,10-3,179,2p_household
110,2024-01-01 01:00:00,10-4,109,1p_household
170,2024-01-01 01:00:00,10-5,174,2p_household
120,2024-01-01 01:00:00,10-6,115,1p_household
180,2024-01-01 01:00:00,10-7,179,2p_household
110,2024-01-01 01:00:00,10-8,109,1p_household
