value,time,ID,orig_measurement,type
160,2024-01-01 00:00:00,13-0,162,1p_household
160,2024-01-01 00:00:00,13-1,160,1p_household
160,2024-01-01 00:00:00,13-2,158,1p_household
260,2024-01-01 00:00:00,13-3,260,2p_household
280,2024-01-01 00:00:00,13-4,278,2p_household
400,2024-01-01 00:00:00,13-5,391,3p_household
170,2024-01-01 00:00:00,7-0,165,1p_household
280,2024-01-01 00:00:00,7-1,278,2p_household
170,2024-01-01 00:00:00,7-2,171,1p_household
170,2024-01-01 00:00:00,7-3,166,1p_household
170,2024-01-01 00:00:00,7-4,165,1p_household
160,2024-01-01 00:00:00,7-5,163,1p_household
260,2024-01-01 00:00:00,7-6,265,2p_household
380,2024-01-01 00:00:00,7-7,383,3p_household
170,2024-01-01 00:00:00,7-8,168,1p_household
280,2024-01-01 00:00:00,10-0,277,2p_household
170,2024-01-01 00:00:00,10-1,170,1p_household
380,2024-01-01 00:00:00,10-2,386,3p_household
280,2024-01-01 00:00:00,10-3,275,2p_household
280,2024-01-01 00:00:00,10-4,276,2p_household
260,2024-01-01 00:00:00,10-5,266,2p_household
170,2024-01-01 00:00:00,10-6,171,1p_household
1120,2024-01-01 00:00:00,10-7,1101,store
280,2024-01-01 00:00:00,10-8,275,2p_household
160,2024-01-01 00:00:00,10-9,161,1p_household
260,2024-01-01 00:00:00,4-0,263,2p_household
380,2024-01-01 00:00:00,4-1,379,4p_household
400,2024-01-01 00:00:00,4-2,391,4p_household
260,2024-01-01 00:00:00,4-3,261,2p_household
170,2024-01-01 00:00:00,4-4,167,1p_household
400,2024-01-01 00:00:00,4-5,412,4p_household
170,2024-01-01 00:00:00,3-0,172,1p_household
260,2024-01-01 00:00:00,3-1,266,2p_household
400,2024-01-01 00:00:00,3-2,390,3p_household
260,2024-01-01 00:00:00,3-3,260,2p_household
160,2024-01-01 00:00:00,3-4,158,1p_household
260,2024-01-01 00:00:00,3-5,263,2p_household
170,2024-01-01 00:00:00,3-6,170,1p_household
170,2024-01-01 00:00:00,3-7,171,1p_household
280,2024-01-01 00:00:00,3-8,274,2p_household
160,2024-01-01 00:15:00,13-0,155,1p_household
150,2024-01-01 00:15:00,13-1,151,1p_household
160,2024-01-01 00:15:00,13-2,155,1p_household
240,2024-01-01 00:15:00,13-3,238,2p_household
260,2024-01-01 00:15:00,13-4,254,2p_household
360,2024-01-01 00:15:00,13-5,360,3p_household
160,2024-01-01 00:15:00,7-0,156,1p_household
240,2024-01-01 00:15:00,7-1,245,2p_household
150,2024-01-01 00:15:00,7-2,147,1p_household
150,2024-01-01 00:15:00,7-3,154,1p_household
150,2024-01-01 00:15:00,7-4,151,1p_household
160,2024-01-01 00:15:00,7-5,155,1p_household
240,2024-01-01 00:15:00,7-6,247,2p_household
360,2024-01-01 00:15:00,7-7,365,3p_household
140,2024-01-01 00:15:00,7-8,144,1p_household
240,2024-01-01 00:15:00,10-0,248,2p_household
150,2024-01-01 00:15:00,10-1,149,1p_household
340,2024-01-01 00:15:00,10-2,348,3p_household
240,2024-01-01 00:15:00,10-3,243,2p_household
260,2024-01-01 00:15:00,10-4,255,2p_household
240,2024-01-01 00:15:00,10-5,243,2p_household
140,2024-01-01 00:15:00,10-6,143,1p_household
1040,2024-01-01 00:15:00,10-7,1057,store
240,2024-01-01 00:15:00,10-8,235,2p_household
140,2024-01-01 00:15:00,10-9,144,1p_household
240,2024-01-01 00:15:00,4-0,238,2p_household
360,2024-01-01 00:15:00,4-1,369,4p_household
360,2024-01-01 00:15:00,4-2,368,4p_household
240,2024-01-01 00:15:00,4-3,237,2p_household
160,2024-01-01 00:15:00,4-4,156,1p_household
380,2024-01-01 00:15:00,4-5,372,4p_household
140,2024-01-01 00:15:00,3-0,144,1p_household
240,2024-01-01 00:15:00,3-1,234,2p_household
340,2024-01-01 00:15:00,3-2,342,3p_household
260,2024-01-01 00:15:00,3-3,253,2p_household
150,2024-01-01 00:15:00,3-4,151,1p_household
240,2024-01-01 00:15:00,3-5,242,2p_household
160,2024-01-01 00:15:00,3-6,155,1p_household
150,2024-01-01 00:15:00,3-7,153,1p_household
260,2024-01-01 00:15:00,3-8,254,2p_household
130,2024-01-01 00:30:00,13-0,129,1p_household
140,2024-01-01 00:30:00,13-1,136,1p_household
140,2024-01-01 00:30:00,13-2,138,1p_household
220,2024-01-01 00:30:00,13-3,210,2p_household
220,2024-01-01 00:30:00,13-4,221,2p_household
320,2024-01-01 00:30:00,13-5,320,3p_household
140,2024-01-01 00:30:00,7-0,135,1p_household
220,2024-01-01 00:30:00,7-1,212,2p_household
130,2024-01-01 00:30:00,7-2,132,1p_household
140,2024-01-01 00:30:00,7-3,137,1p_household
