value,time,ID,orig_measurement,type
400,2024-01-01 00:00:00,2-0,392,3p_household
280,2024-01-01 00:00:00,2-1,275,2p_household
170,2024-01-01 00:00:00,2-2,171,1p_household
160,2024-01-01 00:00:00,2-3,158,1p_household
170,2024-01-01 00:00:00,2-4,165,1p_household
280,2024-01-01 00:00:00,2-5,281,2p_household
170,2024-01-01 00:00:00,2-6,170,1p_household
380,2024-01-01 00:00:00,2-7,381,3p_household
160,2024-01-01 00:00:00,2-8,158,1p_household
170,2024-01-01 00:00:00,10-0,170,1p_household
400,2024-01-01 00:00:00,10-1,391,4p_household
170,2024-01-01 00:00:00,10-2,166,1p_household
160,2024-01-01 00:00:00,10-3,157,1p_household
170,2024-01-01 00:00:00,10-4,169,1p_household
170,2024-01-01 00:00:00,10-5,172,1p_household
170,2024-01-01 00:00:00,10-6,169,1p_household
170,2024-01-01 00:00:00,10-7,171,1p_household
380,2024-01-01 00:00:00,10-8,386,3p_household
280,2024-01-01 00:00:00,10-9,273,2p_household
260,2024-01-01 00:00:00,5-0,259,2p_household
400,2024-01-01 00:00:00,5-1,405,4p_household
280,2024-01-01 00:00:00,5-2,275,2p_household
160,2024-01-01 00:00:00,5-3,164,1p_household
280,2024-01-01 00:00:00,5-4,275,2p_household
170,2024-01-01 00:00:00,5-5,165,1p_household
160,2024-01-01 00:00:00,5-6,163,1p_household
380,2024-01-01 00:00:00,1-0,383,4p_household
170,2024-01-01 00:00:00,1-1,166,1p_household
280,2024-01-01 00:00:00,1-2,278,2p_household
170,2024-01-01 00:00:00,1-3,171,1p_household
170,2024-01-01 00:00:00,1-4,171,1p_household
160,2024-01-01 00:00:00,1-5,161,1p_household
400,2024-01-01 00:00:00,1-6,400,3p_household
170,2024-01-01 00:00:00,1-7,167,1p_household
160,2024-01-01 00:00:00,13-0,161,1p_household
400,2024-01-01 00:00:00,13-1,399,3p_household
260,2024-01-01 00:00:00,13-2,267,2p_household
170,2024-01-01 00:00:00,13-3,172,1p_household
170,2024-01-01 00:00:00,13-4,172,1p_household
160,2024-01-01 00:00:00,13-5,163,1p_household
170,2024-01-01 00:00:00,13-6,169,1p_household
260,2024-01-01 00:00:00,13-7,264,2p_household
280,2024-01-01 00:00:00,13-8,272,2p_household
160,2024-01-01 00:00:00,13-9,162,1p_household
380,2024-01-01 00:15:00,2-0,375,3p_household
240,2024-01-01 00:15:00,2-1,238,2p_household
140,2024-01-01 00:15:00,2-2,142,1p_household
140,2024-01-01 00:15:00,2-3,144,1p_household
150,2024-01-01 00:15:00,2-4,154,1p_household
240,2024-01-01 00:15:00,2-5,240,2p_household
150,2024-01-01 00:15:00,2-6,149,1p_household
360,2024-01-01 00:15:00,2-7,354,3p_household
150,2024-01-01 00:15:00,2-8,150,1p_household
140,2024-01-01 00:15:00,10-0,142,1p_household
340,2024-01-01 00:15:00,10-1,344,4p_household
150,2024-01-01 00:15:00,10-2,149,1p_household
150,2024-01-01 00:15:00,10-3,145,1p_household
150,2024-01-01 00:15:00,10-4,153,1p_household
150,2024-01-01 00:15:00,10-5,153,1p_household
150,2024-01-01 00:15:00,10-6,146,1p_household
140,2024-01-01 00:15:00,10-7,143,1p_household
360,2024-01-01 00:15:00,10-8,353,3p_household
240,2024-01-01 00:15:00,10-9,239,2p_household
240,2024-01-01 00:15:00,5-0,247,2p_household
380,2024-01-01 00:15:00,5-1,370,4p_household
260,2024-01-01 00:15:00,5-2,257,2p_household
150,2024-01-01 00:15:00,5-3,149,1p_household
240,2024-01-01 00:15:00,5-4,249,2p_household
150,2024-01-01 00:15:00,5-5,154,1p_household
150,2024-01-01 00:15:00,5-6,153,1p_household
360,2024-01-01 00:15:00,1-0,357,4p_household
150,2024-01-01 00:15:00,1-1,148,1p_household
240,2024-01-01 00:15:00,1-2,248,2p_household
150,2024-01-01 00:15:00,1-3,145,1p_household
150,2024-01-01 00:15:00,1-4,148,1p_household
150,2024-01-01 00:15:00,1-5,153,1p_household
380,2024-01-01 00:15:00,1-6,371,3p_household
150,2024-01-01 00:15:00,1-7,154,1p_household
150,2024-01-01 00:15:00,13-0,148,1p_household
340,2024-01-01 00:15:00,13-1,343,3p_household
240,2024-01-01 00:15:00,13-2,248,2p_household
150,2024-01-01 00:15:00,13-3,149,1p_household
150,2024-01-01 00:15:00,13-4,153,1p_household
150,2024-01-01 00:15:00,13-5,152,1p_household
150,2024-01-01 00:15:00,13-6,147,1p_household
240,2024-01-01 00:15:00,13-7,237,2p_household
260,2024-01-01 00:15:00,13-8,254,2p_household
150,2024-01-01 00:15:00,13-9,153,1p_household
300,2024-01-01 00:30:00,2-0,308,3p_household
220,2024-01-01 00:30:00,2-1,223,2p_household
130,2024-01-01 00:30:00,2-2,130,1p_household
140,2024-01-01 00:30:00,2-3,135,1p_household
130,2024-01-01 00:30:00,2-4,130,1p_household
220,2024-01-01 00:30:00,2-5,218,2p_household
140,2024-01-01 00:30:00,2-6,135,1p_household
300,2024-01-01 00:30:00,2-7,306,3p_household
130,2024-01-01 00:30:00,2-8,129,1p_household
140,2024-01-01 00:30:00,10-0,139,1p_household
320,2024-01-01 00:30:00,10-1,318,4p_household
140,2024-01-01 00:30:00,10-2,136,1p_household
130,2024-01-01 00:30:00,10-3,127,1p_household
140,2024-01-01 00:30:00,10-4,137,1p_household
130,2024-01-01 00:30:00,10-5,131,1p_household
130,2024-01-01 00:30:00,10-6,132,1p_household
140,2024-01-01 00:30:00,10-7,137,1p_household
340,2024-01-01 00:30:00,10-8,332,3p_household
220,2024-01-01 00:30:00,10-9,210,2p_household
220,2024-01-01 00:30:00,5-0,215,2p_household
300,2024-01-01 00:30:00,5-1,306,4p_household
220,2024-01-01 00:30:00,5-2,212,2p_household
140,2024-01-01 00:30:00,5-3,135,1p_household
220,2024-01-01 00:30:00,5-4,223,2p_household
130,2024-01-01 00:30:00,5-5,132,1p_household
130,2024-01-01 00:30:00,5-6,133,1p_household
320,2024-01-01 00:30:00,1-0,328,4p_household
140,2024-01-01 00:30:00,1-1,139,1p_household
220,2024-01-01 00:30:00,1-2,227,2p_household
140,2024-01-01 00:30:00,1-3,137,1p_household
140,2024-01-01 00:30:00,1-4,138,1p_household
140,2024-01-01 00:30:00,1-5,138,1p_household
340,2024-01-01 00:30:00,1-6,334,3p_household
140,2024-01-01 00:30:00,1-7,135,1p_household
130,2024-01-01 00:30:00,13-0,127,1p_household
320,2024-01-01 00:30:00,13-1,313,3p_household
220,2024-01-01 00:30:00,13-2,222,2p_household
130,2024-01-01 00:30:00,13-3,130,1p_household
130,2024-01-01 00:30:00,13-4,133,1p_household
140,2024-01-01 00:30:00,13-5,138,1p_household
130,2024-01-01 00:30:00,13-6,129,1p_household
220,2024-01-01 00:30:00,13-7,212,2p_household
220,2024-01-01 00:30:00,13-8,227,2p_household
140,2024-01-01 00:30:00,13-9,136,1p_household
300,2024-01-01 00:45:00,2-0,302,3p_household
200,2024-01-01 00:45:00,2-1,202,2p_household
120,2024-01-01 00:45:00,2-2,117,1p_household
120,2024-01-01 00:45:00,2-3,119,1p_household
120,2024-01-01 00:45:00,2-4,117,1p_household
200,2024-01-01 00:45:00,2-5,195,2p_household
120,2024-01-01 00:45:00,2-6,124,1p_household
280,2024-01-01 00:45:00,2-7,283,3p_household
120,2024-01-01 00:45:00,2-8,124,1p_household
