value,time,ID,orig_measurement,type
170,2024-01-01 00:00:00,7-0,171,1p_household
160,2024-01-01 00:00:00,7-1,161,1p_household
380,2024-01-01 00:00:00,7-2,388,4p_household
170,2024-01-01 00:00:00,7-3,169,1p_household
280,2024-01-01 00:00:00,7-4,281,2p_household
380,2024-01-01 00:00:00,7-5,379,3p_household
280,2024-01-01 00:00:00,7-6,276,2p_household
160,2024-01-01 00:00:00,8-0,157,1p_household
280,2024-01-01 00:00:00,8-1,283,2p_household
170,2024-01-01 00:00:00,8-2,169,1p_household
160,2024-01-01 00:00:00,8-3,164,1p_household
170,2024-01-01 00:00:00,8-4,165,1p_household
400,2024-01-01 00:00:00,8-5,393,3p_household
380,2024-01-01 00:00:00,8-6,379,3p_household
380,2024-01-01 00:00:00,8-7,380,3p_household
380,2024-01-01 00:00:00,8-8,386,3p_household
160,2024-01-01 00:00:00,8-9,158,1p_household
280,2024-01-01 00:00:00,8-10,271,2p_household
160,2024-01-01 00:00:00,0-0,162,1p_household
380,2024-01-01 00:00:00,0-1,381,3p_household
400,2024-01-01 00:00:00,0-2,415,3p_household
380,2024-01-01 00:00:00,0-3,379,3p_household
400,2024-01-01 00:00:00,0-4,402,3p_household
160,2024-01-01 00:00:00,0-5,163,1p_household
170,2024-01-01 00:00:00,0-6,167,1p_household
380,2024-01-01 00:00:00,13-0,386,3p_household
170,2024-01-01 00:00:00,13-1,166,1p_household
400,2024-01-01 00:00:00,13-2,402,3p_household
280,2024-01-01 00:00:00,13-3,282,2p_household
160,2024-01-01 00:00:00,13-4,157,1p_household
280,2024-01-01 00:00:00,13-5,279,2p_household
380,2024-01-01 00:00:00,13-6,384,3p_household
400,2024-01-01 00:00:00,13-7,398,4p_household
280,2024-01-01 00:00:00,13-8,282,2p_household
380,2024-01-01 00:00:00,2-0,386,4p_household
400,2024-01-01 00:00:00,2-1,411,3p_household
160,2024-01-01 00:00:00,2-2,157,1p_household
400,2024-01-01 00:00:00,2-3,390,3p_household
170,2024-01-01 00:00:00,2-4,166,1p_household
160,2024-01-01 00:00:00,2-5,157,1p_household
160,2024-01-01 00:00:00,2-6,164,1p_household
400,2024-01-01 00:00:00,2-7,403,4p_household
140,2024-01-01 00:15:00,7-0,143,1p_household
160,2024-01-01 00:15:00,7-1,155,1p_household
380,2024-01-01 00:15:00,7-2,375,4p_household
160,2024-01-01 00:15:00,7-3,156,1p_household
240,2024-01-01 00:15:00,7-4,247,2p_household
340,2024-01-01 00:15:00,7-5,345,3p_household
240,2024-01-01 00:15:00,7-6,248,2p_household
140,2024-01-01 00:15:00,8-0,142,1p_household
260,2024-01-01 00:15:00,8-1,254,2p_household
160,2024-01-01 00:15:00,8-2,155,1p_household
150,2024-01-01 00:15:00,8-3,154,1p_household
140,2024-01-01 00:15:00,8-4,143,1p_household
360,2024-01-01 00:15:00,8-5,363,3p_household
380,2024-01-01 00:15:00,8-6,375,3p_household
380,2024-01-01 00:15:00,8-7,374,3p_household
380,2024-01-01 00:15:00,8-8,374,3p_household
140,2024-01-01 00:15:00,8-9,142,1p_household
240,2024-01-01 00:15:00,8-10,234,2p_household
150,2024-01-01 00:15:00,0-0,151,1p_household
380,2024-01-01 00:15:00,0-1,373,3p_household
360,2024-01-01 00:15:00,0-2,351,3p_household
360,2024-01-01 00:15:00,0-3,367,3p_household
340,2024-01-01 00:15:00,0-4,347,3p_household
150,2024-01-01 00:15:00,0-5,147,1p_household
160,2024-01-01 00:15:00,0-6,156,1p_household
360,2024-01-01 00:15:00,13-0,359,3p_household
140,2024-01-01 00:15:00,13-1,143,1p_household
380,2024-01-01 00:15:00,13-2,373,3p_household
240,2024-01-01 00:15:00,13-3,234,2p_household
150,2024-01-01 00:15:00,13-4,154,1p_household
240,2024-01-01 00:15:00,13-5,240,2p_household
360,2024-01-01 00:15:00,13-6,350,3p_household
360,2024-01-01 00:15:00,13-7,351,4p_household
240,2024-01-01 00:15:00,13-8,235,2p_household
360,2024-01-01 00:15:00,2-0,364,4p_household
340,2024-01-01 00:15:00,2-1,346,3p_household
160,2024-01-01 00:15:00,2-2,155,1p_household
340,2024-01-01 00:15:00,2-3,342,3p_household
150,2024-01-01 00:15:00,2-4,151,1p_household
150,2024-01-01 00:15:00,2-5,146,1p_household
150,2024-01-01 00:15:00,2-6,145,1p_household
360,2024-01-01 00:15:00,2-7,369,4p_household
130,2024-01-01 00:30:00,7-0,130,1p_household
130,2024-01-01 00:30:00,7-1,133,1p_household
300,2024-01-01 00:30:00,7-2,309,4p_household
130,2024-01-01 00:30:00,7-3,130,1p_household
220,2024-01-01 00:30:00,7-4,223,2p_household
300,2024-01-01 00:30:00,7-5,306,3p_household
220,2024-01-01 00:30:00,7-6,219,2p_household
130,2024-01-01 00:30:00,8-0,133,1p_household
240,2024-01-01 00:30:00,8-1,230,2p_household
130,2024-01-01 00:30:00,8-2,131,1p_household
130,2024-01-01 00:30:00,8-3,127,1p_household
140,2024-01-01 00:30:00,8-4,137,1p_household
320,2024-01-01 00:30:00,8-5,329,3p_household
300,2024-01-01 00:30:00,8-6,309,3p_household
340,2024-01-01 00:30:00,8-7,330,3p_household
320,2024-01-01 00:30:00,8-8,320,3p_household
130,2024-01-01 00:30:00,8-9,131,1p_household
220,2024-01-01 00:30:00,8-10,227,2p_household
140,2024-01-01 00:30:00,0-0,138,1p_household
320,2024-01-01 00:30:00,0-1,328,3p_household
320,2024-01-01 00:30:00,0-2,325,3p_household
340,2024-01-01 00:30:00,0-3,331,3p_household
320,2024-01-01 00:30:00,0-4,329,3p_household
130,2024-01-01 00:30:00,0-5,133,1p_household
130,2024-01-01 00:30:00,0-6,131,1p_household
320,2024-01-01 00:30:00,13-0,312,3p_household
130,2024-01-01 00:30:00,13-1,132,1p_household
300,2024-01-01 00:30:00,13-2,307,3p_household
220,2024-01-01 00:30:00,13-3,219,2p_household
130,2024-01-01 00:30:00,13-4,127,1p_household
220,2024-01-01 00:30:00,13-5,214,2p_household
320,2024-01-01 00:30:00,13-6,312,3p_household
340,2024-01-01 00:30:00,13-7,335,4p_household
220,2024-01-01 00:30:00,13-8,213,2p_household
340,2024-01-01 00:30:00,2-0,331,4p_household
300,2024-01-01 00:30:00,2-1,306,3p_household
140,2024-01-01 00:30:00,2-2,135,1p_household
320,2024-01-01 00:30:00,2-3,311,3p_household
130,2024-01-01 00:30:00,2-4,128,1p_household
130,2024-01-01 00:30:00,2-5,129,1p_household
130,2024-01-01 00:30:00,2-6,128,1p_household
340,2024-01-01 00:30:00,2-7,335,4p_household
120,2024-01-01 00:45:00,7-0,118,1p_household
120,2024-01-01 00:45:00,7-1,120,1p_household
280,2024-01-01 00:45:00,7-2,289,4p_household
120,2024-01-01 00:45:00,7-3,115,1p_household
200,2024-01-01 00:45:00,7-4,205,2p_household
300,2024-01-01 00:45:00,7-5,297,3p_household
200,2024-01-01 00:45:00,7-6,207,2p_household
120,2024-01-01 00:45:00,8-0,122,1p_household
200,2024-01-01 00:45:00,8-1,202,2p_household
120,2024-01-01 00:45:00,8-2,123,1p_household
120,2024-01-01 00:45:00,8-3,117,1p_household
120,2024-01-01 00:45:00,8-4,117,1p_household
280,2024-01-01 00:45:00,8-5,289,3p_household
300,2024-01-01 00:45:00,8-6,298,3p_household
300,2024-01-01 00:45:00,8-7,303,3p_household
300,2024-01-01 00:45:00,8-8,302,3p_household
120,2024-01-01 00:45:00,8-9,122,1p_household
190,2024-01-01 00:45:00,8-10,192,2p_household
120,2024-01-01 00:45:00,0-0,124,1p_household
280,2024-01-01 00:45:00,0-1,282,3p_household
